Département;Candidats;Voix;% Inscrits;% Exprimés
Côtes-d'Armor (22);M. Emmanuel MACRON;104969;23,02;27,99
Côtes-d'Armor (22);M. Jean-Luc MÉLENCHON;76013;16,67;20,27
Côtes-d'Armor (22);M. François FILLON;68916;15,11;18,38
Côtes-d'Armor (22);Mme Marine LE PEN;61703;13,53;16,46
Côtes-d'Armor (22);M. Benoît HAMON;32260;7,08;8,60
Côtes-d'Armor (22);M. Nicolas DUPONT-AIGNAN;15958;3,50;4,26
Côtes-d'Armor (22);M. Philippe POUTOU;5468;1,20;1,46
Côtes-d'Armor (22);M. Jean LASSALLE;3554;0,78;0,95
Côtes-d'Armor (22);Mme Nathalie ARTHAUD;3028;0,66;0,81
Côtes-d'Armor (22);M. François ASSELINEAU;2479;0,54;0,66
Côtes-d'Armor (22);M. Jacques CHEMINADE;621;0,14;0,17
Finistère (29);M. Emmanuel MACRON;164094;23,76;29,45
Finistère (29);M. Jean-Luc MÉLENCHON;109607;15,87;19,67
Finistère (29);M. François FILLON;99965;14,48;17,94
Finistère (29);Mme Marine LE PEN;77366;11,20;13,89
Finistère (29);M. Benoît HAMON;60781;8,80;10,91
Finistère (29);M. Nicolas DUPONT-AIGNAN;22737;3,29;4,08
Finistère (29);M. Philippe POUTOU;8250;1,19;1,48
Finistère (29);M. Jean LASSALLE;6192;0,90;1,11
Finistère (29);M. François ASSELINEAU;3697;0,54;0,66
Finistère (29);Mme Nathalie ARTHAUD;3638;0,53;0,65
Finistère (29);M. Jacques CHEMINADE;857;0,12;0,15
Ille-et-Vilaine (35);M. Emmanuel MACRON;181373;24,84;30,26
Ille-et-Vilaine (35);M. Jean-Luc MÉLENCHON;118094;16,17;19,70
Ille-et-Vilaine (35);M. François FILLON;114034;15,62;19,03
Ille-et-Vilaine (35);Mme Marine LE PEN;84646;11,59;14,12
Ille-et-Vilaine (35);M. Benoît HAMON;53418;7,32;8,91
Ille-et-Vilaine (35);M. Nicolas DUPONT-AIGNAN;26822;3,67;4,48
Ille-et-Vilaine (35);M. Philippe POUTOU;7065;0,97;1,18
Ille-et-Vilaine (35);M. Jean LASSALLE;4531;0,62;0,76
Ille-et-Vilaine (35);Mme Nathalie ARTHAUD;4338;0,59;0,72
Ille-et-Vilaine (35);M. François ASSELINEAU;3993;0,55;0,67
Ille-et-Vilaine (35);M. Jacques CHEMINADE;1021;0,14;0,17
Morbihan (56);M. Emmanuel MACRON;130639;22,64;27,86
Morbihan (56);M. François FILLON;97900;16,97;20,88
Morbihan (56);Mme Marine LE PEN;82927;14,37;17,69
Morbihan (56);M. Jean-Luc MÉLENCHON;82020;14,21;17,49
Morbihan (56);M. Benoît HAMON;34368;5,96;7,33
Morbihan (56);M. Nicolas DUPONT-AIGNAN;22411;3,88;4,78
Morbihan (56);M. Philippe POUTOU;6309;1,09;1,35
Morbihan (56);M. Jean LASSALLE;4820;0,84;1,03
Morbihan (56);Mme Nathalie ARTHAUD;3291;0,57;0,70
Morbihan (56);M. François ASSELINEAU;3249;0,56;0,69
Morbihan (56);M. Jacques CHEMINADE;901;0,16;0,19