Département;Type;Nombre;% Inscrits;% Votants
Côtes-d'Armor (22);Inscrits;455958;NA;NA
Côtes-d'Armor (22);Abstentions;71618;15,71;NA
Côtes-d'Armor (22);Votants;384340;84,29;NA
Côtes-d'Armor (22);Blancs;6362;1,4;1,66
Côtes-d'Armor (22);Nuls;3009;0,66;0,78
Côtes-d'Armor (22);Exprimés;374969;82,24;97,56
Finistère (29);Inscrits;690570;NA;NA
Finistère (29);Abstentions;120636;17,47;NA
Finistère (29);Votants;569934;82,53;NA
Finistère (29);Blancs;9452;1,37;1,66
Finistère (29);Nuls;3298;0,48;0,58
Finistère (29);Exprimés;557184;80,68;97,76
Ille-et-Vilaine (35);Inscrits;730142;NA;NA
Ille-et-Vilaine (35);Abstentions;116720;15,99;NA
Ille-et-Vilaine (35);Votants;613422;84,01;NA
Ille-et-Vilaine (35);Blancs;9978;1,37;1,63
Ille-et-Vilaine (35);Nuls;4109;0,56;0,67
Ille-et-Vilaine (35);Exprimés;599335;82,08;97,7
Morbihan (56);Inscrits;577012;NA;NA
Morbihan (56);Abstentions;96113;16,66;NA
Morbihan (56);Votants;480899;83,34;NA
Morbihan (56);Blancs;8518;1,48;1,77
Morbihan (56);Nuls;3546;0,61;0,74
Morbihan (56);Exprimés;468835;81,25;97,49